baseline_key,metric_name,point_estimate,ci_lower,ci_upper,sample_size,n_bootstrap,random_seed,run_id,git_sha
B0,accuracy,0.1364,0.0000,0.2727,22,1000,42,20260902T104552Z,e09566bbffa7
B0,macro_f1,0.0868,0.0000,0.1922,22,1000,42,20260902T104552Z,e09566bbffa7
B0,abstention_rate,0.6818,0.5000,0.8636,22,1000,42,20260902T104552Z,e09566bbffa7
B1,accuracy,0.4545,0.2273,0.6364,22,1000,42,20260902T104552Z,e09566bbffa7
B1,macro_f1,0.4233,0.2667,0.6016,22,1000,42,20260902T104552Z,e09566bbffa7
B1,abstention_rate,0.0000,0.0000,0.0000,22,1000,42,20260902T104552Z,e09566bbffa7
B2,accuracy,0.1364,0.0000,0.2727,22,1000,42,20260902T104552Z,e09566bbffa7
B2,macro_f1,0.0583,0.0000,0.1327,22,1000,42,20260902T104552Z,e09566bbffa7
B2,abstention_rate,0.4091,0.2273,0.5909,22,1000,42,20260902T104552Z,e09566bbffa7
B3,accuracy,0.6364,0.4091,0.8182,22,1000,42,20260902T104552Z,e09566bbffa7
B3,macro_f1,0.5852,0.4464,0.7619,22,1000,42,20260902T104552Z,e09566bbffa7
B3,abstention_rate,0.3636,0.1818,0.5909,22,1000,42,20260902T104552Z,e09566bbffa7
