baseline,expected\predicted,BOTH_DIRECT_AND_PROXY_WORK,BROWSER_QUIC_STALL,DEAD_PROXY_CONFIG,DIRECT_OK,HAPPY_EYEBALLS_STALL,INSUFFICIENT_DATA,IPV6_BROKEN_IPV4_OK,POSSIBLE_MITM_RISK,PROXY_SERVER_CHANGED_TO_REMOTE,REVERTER_SUSPECTED,UNKNOWN_LOCAL_PROXY,WININET_WINHTTP_MISMATCH
B0,BOTH_DIRECT_AND_PROXY_WORK,1,0,0,0,0,0,0,0,0,0,0,0
B0,BROWSER_QUIC_STALL,0,0,0,1,0,0,0,0,0,0,0,0
B0,DEAD_PROXY_CONFIG,1,0,1,0,0,4,0,0,0,0,0,0
B0,DIRECT_OK,0,0,0,0,0,2,0,0,0,0,0,0
B0,HAPPY_EYEBALLS_STALL,0,0,0,1,0,0,0,0,0,0,0,0
B0,INSUFFICIENT_DATA,0,0,0,0,0,1,0,0,0,0,0,0
B0,IPV6_BROKEN_IPV4_OK,0,0,0,1,0,1,0,0,0,0,0,0
B0,POSSIBLE_MITM_RISK,0,0,0,0,0,1,0,0,0,0,0,0
B0,PROXY_SERVER_CHANGED_TO_REMOTE,0,0,0,0,0,1,0,0,0,0,0,0
B0,REVERTER_SUSPECTED,0,0,1,0,0,1,0,0,0,0,0,0
B0,UNKNOWN_LOCAL_PROXY,0,0,0,0,0,2,0,0,0,0,0,0
B0,WININET_WINHTTP_MISMATCH,0,0,0,0,0,2,0,0,0,0,0,0
