baseline,expected\predicted,BOTH_DIRECT_AND_PROXY_WORK,BROWSER_QUIC_STALL,DEAD_PROXY_CONFIG,DIRECT_OK,HAPPY_EYEBALLS_STALL,INSUFFICIENT_DATA,IPV6_BROKEN_IPV4_OK,LOCAL_PROXY_ACTIVE,POSSIBLE_MITM_RISK,PROXY_SERVER_CHANGED_TO_REMOTE,REVERTER_SUSPECTED,UNKNOWN_LOCAL_PROXY,WININET_WINHTTP_MISMATCH
B2,BOTH_DIRECT_AND_PROXY_WORK,0,0,0,0,0,0,0,1,0,0,0,0,0
B2,BROWSER_QUIC_STALL,0,0,0,1,0,0,0,0,0,0,0,0,0
B2,DEAD_PROXY_CONFIG,0,0,0,0,0,1,0,2,0,0,0,0,3
B2,DIRECT_OK,0,0,0,0,0,2,0,0,0,0,0,0,0
B2,HAPPY_EYEBALLS_STALL,0,0,0,1,0,0,0,0,0,0,0,0,0
B2,INSUFFICIENT_DATA,0,0,0,0,0,1,0,0,0,0,0,0,0
B2,IPV6_BROKEN_IPV4_OK,0,0,0,1,0,1,0,0,0,0,0,0,0
B2,LOCAL_PROXY_ACTIVE,0,0,0,0,0,0,0,0,0,0,0,0,0
B2,POSSIBLE_MITM_RISK,0,0,0,0,0,1,0,0,0,0,0,0,0
B2,PROXY_SERVER_CHANGED_TO_REMOTE,0,0,0,0,0,1,0,0,0,0,0,0,0
B2,REVERTER_SUSPECTED,0,0,0,0,0,0,0,1,0,0,0,0,1
B2,UNKNOWN_LOCAL_PROXY,0,0,0,0,0,2,0,0,0,0,0,0,0
B2,WININET_WINHTTP_MISMATCH,0,0,0,0,0,0,0,0,0,0,0,0,2
