baseline,class,precision,recall,f1,support
B0,BOTH_DIRECT_AND_PROXY_WORK,0.5000,1.0000,0.6667,1
B0,BROWSER_QUIC_STALL,0.0000,0.0000,0.0000,1
B0,DEAD_PROXY_CONFIG,0.5000,0.1667,0.2500,6
B0,DIRECT_OK,0.0000,0.0000,0.0000,2
B0,HAPPY_EYEBALLS_STALL,0.0000,0.0000,0.0000,1
B0,INSUFFICIENT_DATA,0.0667,1.0000,0.1250,1
B0,IPV6_BROKEN_IPV4_OK,0.0000,0.0000,0.0000,2
B0,POSSIBLE_MITM_RISK,0.0000,0.0000,0.0000,1
B0,PROXY_SERVER_CHANGED_TO_REMOTE,0.0000,0.0000,0.0000,1
B0,REVERTER_SUSPECTED,0.0000,0.0000,0.0000,2
B0,UNKNOWN_LOCAL_PROXY,0.0000,0.0000,0.0000,2
B0,WININET_WINHTTP_MISMATCH,0.0000,0.0000,0.0000,2
B1,BOTH_DIRECT_AND_PROXY_WORK,0.0000,0.0000,0.0000,1
B1,BROWSER_QUIC_STALL,1.0000,1.0000,1.0000,1
B1,DEAD_PROXY_CONFIG,1.0000,0.1667,0.2857,6
B1,DIRECT_OK,0.1429,0.5000,0.2222,2
B1,HAPPY_EYEBALLS_STALL,1.0000,1.0000,1.0000,1
B1,INSUFFICIENT_DATA,0.0000,0.0000,0.0000,1
B1,IPV6_BROKEN_IPV4_OK,1.0000,1.0000,1.0000,2
B1,LOCAL_PROXY_ACTIVE,0.0000,0.0000,0.0000,0
B1,PATH_OK,0.0000,0.0000,0.0000,0
B1,POSSIBLE_MITM_RISK,0.0000,0.0000,0.0000,1
B1,PROXY_SERVER_CHANGED_TO_REMOTE,0.0000,0.0000,0.0000,1
B1,REVERTER_SUSPECTED,1.0000,1.0000,1.0000,2
B1,UNKNOWN_LOCAL_PROXY,0.0000,0.0000,0.0000,2
B1,WININET_WINHTTP_MISMATCH,0.4000,1.0000,0.5714,2
B2,BOTH_DIRECT_AND_PROXY_WORK,0.0000,0.0000,0.0000,1
B2,BROWSER_QUIC_STALL,0.0000,0.0000,0.0000,1
B2,DEAD_PROXY_CONFIG,0.0000,0.0000,0.0000,6
B2,DIRECT_OK,0.0000,0.0000,0.0000,2
B2,HAPPY_EYEBALLS_STALL,0.0000,0.0000,0.0000,1
B2,INSUFFICIENT_DATA,0.1111,1.0000,0.2000,1
B2,IPV6_BROKEN_IPV4_OK,0.0000,0.0000,0.0000,2
B2,LOCAL_PROXY_ACTIVE,0.0000,0.0000,0.0000,0
B2,POSSIBLE_MITM_RISK,0.0000,0.0000,0.0000,1
B2,PROXY_SERVER_CHANGED_TO_REMOTE,0.0000,0.0000,0.0000,1
B2,REVERTER_SUSPECTED,0.0000,0.0000,0.0000,2
B2,UNKNOWN_LOCAL_PROXY,0.0000,0.0000,0.0000,2
B2,WININET_WINHTTP_MISMATCH,0.3333,1.0000,0.5000,2
B3,BOTH_DIRECT_AND_PROXY_WORK,1.0000,1.0000,1.0000,1
B3,BROWSER_QUIC_STALL,1.0000,1.0000,1.0000,1
B3,DEAD_PROXY_CONFIG,1.0000,0.6667,0.8000,6
B3,DIRECT_OK,0.0000,0.0000,0.0000,2
B3,HAPPY_EYEBALLS_STALL,1.0000,1.0000,1.0000,1
B3,INSUFFICIENT_DATA,0.1250,1.0000,0.2222,1
B3,IPV6_BROKEN_IPV4_OK,1.0000,1.0000,1.0000,2
B3,LOCAL_PROXY_ACTIVE,0.0000,0.0000,0.0000,0
B3,POSSIBLE_MITM_RISK,0.0000,0.0000,0.0000,1
B3,PROXY_SERVER_CHANGED_TO_REMOTE,0.0000,0.0000,0.0000,1
B3,REVERTER_SUSPECTED,1.0000,1.0000,1.0000,2
B3,UNKNOWN_LOCAL_PROXY,0.0000,0.0000,0.0000,2
B3,WININET_WINHTTP_MISMATCH,1.0000,1.0000,1.0000,2
