experiment_id,factor_a,factor_b,outcome,main_effect_x1,main_effect_x2,interaction_effect,lpm_beta_0,lpm_beta_1,lpm_beta_2,lpm_beta_3,sample_size,ci_lower,ci_upper,ci_method,effect_size_label,limitations
proxy_x_firewall,proxy_fault,firewall_fault,y_severity,0.4500,0.4000,-0.0000,-0.0000,0.4500,0.4000,-0.0000,12,-0.8500,0.4500,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
proxy_x_firewall,proxy_fault,firewall_fault,y_failure,0.5000,0.5000,-1.0000,0.0000,1.0000,1.0000,-1.0000,12,-2.0000,0.0000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
proxy_x_firewall,proxy_fault,firewall_fault,y_platform_severity,0.4040,0.3050,-0.6100,0.2550,0.7090,0.6100,-0.6100,12,-1.5740,0.3540,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
proxy_x_firewall,proxy_fault,firewall_fault,y_platform_failure,0.5000,0.5000,-1.0000,0.0000,1.0000,1.0000,-1.0000,12,-2.0000,0.0000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
proxy_x_tls,proxy_fault,tls_path_fault,y_severity,0.5350,0.3850,0.0700,0.0000,0.5000,0.3500,0.0700,12,-0.8500,0.5700,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
proxy_x_tls,proxy_fault,tls_path_fault,y_failure,0.5000,0.5000,-1.0000,0.0000,1.0000,1.0000,-1.0000,12,-2.0000,0.0000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
proxy_x_tls,proxy_fault,tls_path_fault,y_platform_severity,0.4040,0.3050,-0.6100,0.2550,0.7090,0.6100,-0.6100,12,-1.5740,0.3540,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
proxy_x_tls,proxy_fault,tls_path_fault,y_platform_failure,0.5000,0.5000,-1.0000,0.0000,1.0000,1.0000,-1.0000,12,-2.0000,0.0000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
wininet_x_winhttp,wininet_proxy_enabled,winhttp_direct_access,y_severity,0.4250,0.3250,0.4500,-0.0000,0.2000,0.1000,0.4500,12,-0.3000,0.6500,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
wininet_x_winhttp,wininet_proxy_enabled,winhttp_direct_access,y_failure,0.5000,0.5000,1.0000,0.0000,0.0000,0.0000,1.0000,12,0.0000,1.0000,percentile_bootstrap_cell_contrast,additive_contrast,Do not claim statistical significance without adequate sample size and assumptions. | Designed ground-truth severity may not match platform classifier response.
