baseline,class,precision,recall,f1,support
B0,BOTH_DIRECT_AND_PROXY_WORK,1.0000,1.0000,1.0000,1
B0,DEAD_PROXY_CONFIG,0.0000,0.0000,0.0000,3
B0,INSUFFICIENT_DATA,0.0000,0.0000,0.0000,0
B0,REVERTER_SUSPECTED,0.0000,0.0000,0.0000,2
B0,WININET_WINHTTP_MISMATCH,0.0000,0.0000,0.0000,2
B1,BOTH_DIRECT_AND_PROXY_WORK,0.0000,0.0000,0.0000,1
B1,DEAD_PROXY_CONFIG,0.0000,0.0000,0.0000,3
B1,LOCAL_PROXY_ACTIVE,0.0000,0.0000,0.0000,0
B1,REVERTER_SUSPECTED,1.0000,1.0000,1.0000,2
B1,WININET_WINHTTP_MISMATCH,0.4000,1.0000,0.5714,2
B2,BOTH_DIRECT_AND_PROXY_WORK,0.0000,0.0000,0.0000,1
B2,DEAD_PROXY_CONFIG,0.0000,0.0000,0.0000,3
B2,LOCAL_PROXY_ACTIVE,0.0000,0.0000,0.0000,0
B2,REVERTER_SUSPECTED,0.0000,0.0000,0.0000,2
B2,WININET_WINHTTP_MISMATCH,0.3333,1.0000,0.5000,2
B3,BOTH_DIRECT_AND_PROXY_WORK,1.0000,1.0000,1.0000,1
B3,DEAD_PROXY_CONFIG,1.0000,1.0000,1.0000,3
B3,REVERTER_SUSPECTED,1.0000,1.0000,1.0000,2
B3,WININET_WINHTTP_MISMATCH,1.0000,1.0000,1.0000,2
