sample_id,scenario_id,os_version_category,evidence_features,ground_truth_failure,ground_truth_incident_class,severity,compound_failure,expected_action,repairable,provenance,generation_seed,split,limitations
RB-v1-001,RB-v1-001,unspecified_fixture,"{""failure_family"": ""dead_proxy"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_PROXY_001,DEAD_PROXY_CONFIG,labeled,False,PREVIEW_ONLY,True,derived_from_existing_fixture,,development,[]
RB-v1-002,RB-v1-002,unspecified_fixture,"{""failure_family"": ""stack_mismatch"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_PROXY_003,WININET_WINHTTP_MISMATCH,labeled,False,PREVIEW_ONLY,True,derived_from_existing_fixture,,development,[]
RB-v1-003,RB-v1-003,unspecified_fixture,"{""failure_family"": ""reverter"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_PROXY_006,REVERTER_SUSPECTED,ambiguous,False,PREVIEW_ONLY,True,derived_from_existing_fixture,,development,[]
RB-v1-004,RB-v1-004,unspecified_fixture,"{""failure_family"": ""dead_proxy"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_PROXY_001,DEAD_PROXY_CONFIG,labeled,False,PREVIEW_ONLY,True,derived_from_existing_fixture,,development,[]
RB-v1-005,RB-v1-005,unspecified_fixture,"{""failure_family"": ""healthy_proxy"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_HEALTHY_002,BOTH_DIRECT_AND_PROXY_WORK,ambiguous,False,NONE,False,synthetic_fixture,,development,[]
RB-v1-006,RB-v1-006,unspecified_fixture,"{""failure_family"": ""reverter"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_PROXY_006,REVERTER_SUSPECTED,labeled,False,PREVIEW_ONLY,True,synthetic_fixture,,development,[]
RB-v1-007,RB-v1-007,unspecified_fixture,"{""failure_family"": ""dead_proxy"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_PROXY_001,DEAD_PROXY_CONFIG,labeled,False,PREVIEW_ONLY,True,incomplete_evidence,,development,[]
RB-v1-008,RB-v1-008,unspecified_fixture,"{""failure_family"": ""stack_mismatch"", ""feature_schema"": ""coarse_v1"", ""has_notes"": true}",F_PROXY_003,WININET_WINHTTP_MISMATCH,ambiguous,False,PREVIEW_ONLY,True,derived_from_existing_fixture,,held_out,[]
RB-v1-009,RB-v1-009,unspecified_fixture,"{""failure_family"": ""path_health"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_ROUTING_002,IPV6_BROKEN_IPV4_OK,labeled,False,PREVIEW_ONLY,True,synthetic_fixture,,development,"[""IPv4-ok + IPv6-fail""]"
RB-v1-010,RB-v1-010,unspecified_fixture,"{""failure_family"": ""path_health"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_DNS_003,HAPPY_EYEBALLS_STALL,labeled,False,PREVIEW_ONLY,True,synthetic_fixture,,development,[]
RB-v1-011,RB-v1-011,unspecified_fixture,"{""failure_family"": ""browser_stall"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_TLS_003,BROWSER_QUIC_STALL,labeled,False,PREVIEW_ONLY,True,synthetic_fixture,,development,[]
RB-v1-012,RB-v1-012,unspecified_fixture,"{""failure_family"": ""healthy"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_HEALTHY_001,DIRECT_OK,ambiguous,False,NONE,False,derived_from_existing_fixture,,development,[]
RB-v1-013,RB-v1-013,unspecified_fixture,"{""failure_family"": ""unknown_proxy"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_PROXY_004,UNKNOWN_LOCAL_PROXY,labeled,False,PREVIEW_ONLY,True,derived_from_existing_fixture,,held_out,[]
RB-v1-014,RB-v1-014,unspecified_fixture,"{""failure_family"": ""mitm_risk"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_PROXY_006,POSSIBLE_MITM_RISK,ambiguous,False,PREVIEW_ONLY,True,derived_from_existing_fixture,,development,[]
RB-v1-015,RB-v1-015,unspecified_fixture,"{""failure_family"": ""proxy_transition"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_PROXY_006,PROXY_SERVER_CHANGED_TO_REMOTE,labeled,False,PREVIEW_ONLY,True,derived_from_existing_fixture,,development,[]
RB-v1-016,RB-v1-016,unspecified_fixture,"{""failure_family"": ""insufficient_data"", ""feature_schema"": ""coarse_v1"", ""has_notes"": false}",F_HEALTHY_003,ERROR_INSUFFICIENT_DATA,labeled,False,PREVIEW_ONLY,True,incomplete_evidence,,held_out,[]
